Question,Answer,Class
List of all recognition/Specification of degrees?,A list of UGC specified degrees under Section 22 of UGC Act 1956 is available on UGC website at http://www.ugc.ac.in/pdfnews/1061840_specification-of-degrees-july-2014.pdf ,info
What is the validity of any degree?,A statutory university can award degree specified under Section 22 of UGC Act 1956 with the due approval of its competent councils and statutory councils wherever required and in accordance with the Regulations notified by UGC from time to time.,info
Equivalence of degrees?,Equivalence of degrees is not determined by the UGC For higher education purposes it is decided by the university concerned and for employment purposes by the employing organisation UGC public notice No 9-3/2016 dated 19.07.2016 on equivalence of degrees is available on UGC website at http://www.ugc.ac.in/pdfnews/1952431_UGC-Public-Notice-reg-equivalency-of-degrees.pdf,info
Equivalence of PGDM to Master degree?,Equivalence between PGDM and Master degree is not determined by the UGC.,info
Recognition of diplomas and certificates?,Diploma/certificate courses are not specified by UGC. However universities can run the diploma / certificate courses and with due approval of its governing councils/statutory council wherever required.,info
How to start pre-university courses?,UGC does not grant the approval / recognition to start pre university courses.,info
Recognition of two years bachelors degree programme?,A copy of UGC D.O. letter No. 1-15/2015(CPP-II) dated 17th August 2015 is available on UGC website at http://www.ugc.ac.in/pdfnews/2529491_UGC-Letter.pdf ,info
Where can I get the answer-keys of UGC-NET?,The conduct of UGC-NET was outsourced to Central Board of Secondary Education (CBSE) from December 2014 to June 2018. Thereafter it has been outsourced to National Testing Agency (NTA) from December 2018 onwards. For UGC-NET conducted from December 2014 onwards the answer-keys may be obtained from the concerned body or may be accessed from their websites if uploaded there.,NET
Where can I get the question papers of past UGC-NET?,The conduct of UGC-NET was outsourced to Central Board of Secondary Education (CBSE) from December 2014 to June 2018. Thereafter it was outsourced to National Testing Agency (NTA) from December 2018 onwards. For UGC-NET conducted from December 2014 onwards the question papers may be obtained from the concerned body or may be accessed from their website if uploaded there.,NET
What is the validity of UGC-NET certificate?,The validity of UGC-NET certificate of Eligibility for Assistant Professor/Lectureship is forever.,NET
Are the candidates with Post Graduate Diploma in Management (PGDM) eligible to appear in NET?, refer here https://www.ugc.ac.in/FAQ-NET.pdf ,NET
What is ragging?,Any disorderly conduct whether by words spoken or written or by an act which has the effect of teasing treating or handling with rudeness a fresher or a junior student.,ragging
Why would anyone indulge in ragging?,To derive a sadistic pleasure To show off power authority or superiority over juniors or freshers.,ragging
Is some form of ragging good?,No. Ragging in any form is a reprehensible act of does no good to anyone. Every act of ragging major or minor is beyond the limits of decency morality and humanity. Civilised societies across the world are doing away with this nefarious practice. Some states in India have done the same. Madhya Pradesh will do it this year.,ragging
