What is UGC-NET December 2021 & June 2022 (merged cycle)?, The University Grants Commission (UGC) has entrusted the responsibility of conducting UGC-NET to the NTA. UGC-NET is a test being conducted to determine the eligibility for Assistant Professor only or Assistant Professor & Junior Research fellowship both in college and university, general
What is the responsibility of NTA for UGC NET exam?, The National Testing Agency (NTA) is an examination conducting body which conducts the UGC NET since December 2018 as per the relevant norms/guidelines/regulations stipulated by the University Grants Commission (UGC). The Role of NTA is confined to registration of candidates for the exam admitting them to the exam conducting the exam in the prescribed mode display of answer keys and inviting challenges thereto from interested candidates finalizing the answer keys processing the results based upon the Final Answer Key(s) and issuing the Score Card to the respective candidates online and handover the result data to UGC. The NTA also issue E- Certificate and JRF Award Letter for the Qualified candidates of UGC NET since June 2019., general
When will the Online Application form for UGC-NET December 2021 & June 2022 (merged cycle) be available on the website?, The online link to apply online for UGC-NET December 2021 & June 2022 (merged cycle) is available between 30.04.2022 and 20.05.2022 (upto 05:00 P.M) at ugcnet.nta.nic.in, website
What is the last date of submission of application fee?, Candidates can pay the application fee only online upto 20.05.2022 (upto 11.50 p.m.)., website
Schedule for correction in the Particulars in Online Application Form?, 21.05.2022 to 23.05.2022, website
Intimation of Cities of exam centres, Please keep visiting the NTA website for latest updates.,general
When will the Examination be conducted?, Please keep visiting the NTA website for latest updates., exam
What are the exam timings?, The exam will be held for UGC-NET December 2021 & June 2022 (merged cycle) from 09:00 AM to 12:00 PM & 03:00 PM to 06:00 PM, exam
What is the mode of conducting the test?, The test will be conducted in Computer Based Test (CBT) mode., exam
How can I select the Date and Slot of Examination?, Date/shift/slot of examination is allotted by computer randomly which is required for the normalization process. Hence the choice of date and shift/slot cannot be provided by the candidate himself/herself., website
What is the scheme of the exam?, For Scheme of examination please refer to the Information Bulletin hosted on the UGC-NETwebsite: ugcnet.nta.nic.in, exam
What is the syllabus?, For syllabus please refer to the Information Bulletin of UGC-NET (merged cycle) hosted on NTA website: ugcnet.nta.nic.in, general
