Question,Answer,Class
Can I open AICTE web portal in any browser?,Yes. You can open AICTE’s Web Portal in any Web Browser.,modified
Where I can find information related to Approval Process 2018-19?,Information related to Approval Process 2018-19 can be found on AICTE Home page under Quick Links (Approval Process 2018-19).,modified
How can I get New User-id and password (login credentials) for Website password?,Please click on Request New User Id link on AICTE Web-portal or go to link http://portal.aicte-india.org/partnerportal_enu,modified
I have forgotten password for logging in AICTE Web Portal. What is the procedure to recover this?, Click on 'Request for Forgot Password' in http://www.aicte-india.org/ . Kindly fill User Id or Institute Permanent Id or any of the Application Ids and click on Submit Request. Click on Click Here to Make Payment and make Online Payment of Rs "5000. Thereafter please submit affidavit in concerned Regional Office to retrieve" forgot password. Affidavit format is available in AICTE Approval ProcessHandbook.,modified
Is PAN No. field mandatory for 'Forgot Password' form?,No. PAN Card is not mandatory. Only User Id or any one of the Application Ids is" required.,modified
When I try to login with Institute's Credentials error message 'Invalid username and" password' is displayed. What should I do?, Recheck the login credentials (Case sensitive). Confirm whether someone else has logged in with the same credentials (Please note that per user only 3 sessions are"allowed. Hence if someone tries for 4th session then again invalid user name and" password message will popup). If no session is live and still getting an invalid username and password message then you can Request for forgot password.,modified
I am not able to find some tabs in New upgraded AICTE Web Portal.,All sub tabs are available under drop down or You may find all available tabs in one page by Sitemap option. Sitemap option is available in Navigate Menu. Shortcut Keyboard key for Sitemap is Ctrl+Shift+A.,modified
How to delete old faculty details?,Faculty record cannot be deleted. Faculty can be marked as Duplicate or Left the Institute in Faculty Details tab.,modified
Is Aadhaar/PAN details mandatory to update faculty details in AICTE Web Portal?, Yes.,modified
How to add re-joined faculty in AICTE Web Portal,Click on Left The Institute tab. Enter date of rejoining. Automatically it will get reflected on Web portal.,modified
I have made Online Payment but amount is not updated in portal.,"Generally payment receipt gets updated immediately. Incase your payment receipt" is not updated then click on View Transaction Button under Payment tab. Otherwise it will get updated within 48 hours (2 working days). In case it is not updated even "after that please send details of the transaction (Transaction Id generated while" making the payment) and application through Grievance form.,modified
